,Start date,End date,Biomass [MWh] Calculated resolutions,Hydropower [MWh] Calculated resolutions,Wind offshore [MWh] Calculated resolutions,Wind onshore [MWh] Calculated resolutions,Photovoltaics [MWh] Calculated resolutions,Other renewable [MWh] Calculated resolutions,Nuclear [MWh] Calculated resolutions,Lignite [MWh] Calculated resolutions,Hard coal [MWh] Calculated resolutions,Fossil gas [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions,Other conventional [MWh] Calculated resolutions,Year
1118,2018-01-23,2018-01-24,115396.5,48576.0,59174.75,315352.5,18981.25,5477.25,221668.75,383764.25,254013.0,160539.25,32520.25,33811.5,2018
1119,2018-01-24,2018-01-25,114551.75,45716.25,98304.25,658135.75,41025.25,5321.0,215635.0,341626.75,98753.25,103543.75,29435.75,32650.5,2018
1120,2018-01-25,2018-01-26,115545.0,44660.75,89517.25,331469.25,30154.75,5168.0,219532.0,374013.5,255019.75,152449.0,31708.25,32639.25,2018
1121,2018-01-26,2018-01-27,116559.0,46896.25,8033.25,45725.5,27650.75,5420.25,224416.75,410053.5,348485.5,187753.75,37909.75,36064.5,2018
1122,2018-01-27,2018-01-28,116489.75,45743.0,58273.0,223475.5,25557.75,5328.25,219381.5,396141.25,164187.25,113357.5,19189.0,33450.5,2018
1123,2018-01-28,2018-01-29,115684.5,41113.75,89077.75,749708.0,22198.75,4356.25,168162.5,169061.75,45038.5,67928.25,19481.25,30123.75,2018
1124,2018-01-29,2018-01-30,115939.5,42912.75,89651.5,803211.25,23738.75,4930.75,200812.25,253681.75,76287.75,96068.25,22234.0,31367.25,2018
1125,2018-01-30,2018-01-31,116618.75,45461.5,83154.75,401047.25,49857.5,5429.5,221033.0,330388.25,217955.25,155288.75,37375.25,33296.0,2018
1126,2018-01-31,2018-02-01,115912.25,45184.75,92803.25,603766.75,30906.25,5453.5,219739.5,361418.25,116582.75,121183.5,20645.25,33972.0,2018
1127,2018-02-01,2018-02-02,116369.75,45902.5,91295.5,432482.5,32594.0,5729.0,218468.0,381813.5,175137.25,140867.25,27988.75,30485.5,2018
1128,2018-02-02,2018-02-03,117032.75,46716.0,55182.75,311073.75,38071.0,5820.75,221569.25,408070.25,275753.0,162090.25,24715.5,32553.0,2018
1129,2018-02-03,2018-02-04,116831.5,44857.25,26731.5,85287.25,25097.25,5819.25,224624.5,404267.75,255810.5,169383.0,24493.75,33442.25,2018
1130,2018-02-04,2018-02-05,115940.25,42677.0,93955.5,154272.0,26188.5,5855.0,224359.0,414949.75,159125.25,141442.5,11813.75,31034.5,2018
1131,2018-02-05,2018-02-06,116404.5,43242.25,33879.75,170796.5,53301.25,5831.25,225896.0,434243.25,337748.5,231497.75,32537.25,31744.0,2018
1132,2018-02-06,2018-02-07,115800.0,45290.75,4849.0,91900.5,66492.25,5790.75,225530.25,434933.0,362363.75,256016.25,33740.0,28264.0,2018
1133,2018-02-07,2018-02-08,115537.5,46459.5,7193.75,48549.25,55938.25,5748.25,225581.5,429694.25,377364.25,263841.5,42769.25,27522.0,2018
1134,2018-02-08,2018-02-09,115486.5,45531.0,52355.25,33266.5,51719.25,5810.0,225205.75,422976.5,367156.75,254734.5,33588.25,29193.5,2018
1135,2018-02-09,2018-02-10,115979.25,43670.5,81998.0,128660.5,42353.75,5805.5,224951.0,409469.0,341306.75,198941.0,36322.5,29657.5,2018
1136,2018-02-10,2018-02-11,117250.0,42199.0,50335.0,106546.5,24428.5,5807.25,225384.5,402356.5,278995.25,173233.75,20835.0,29126.25,2018
1137,2018-02-11,2018-02-12,116121.75,38276.25,98181.0,523431.25,28514.75,5579.75,217613.0,272973.5,70768.5,115484.5,11149.0,27923.75,2018
1138,2018-02-12,2018-02-13,116087.5,37670.5,93650.25,383203.75,47378.5,5761.5,220492.25,350097.5,225936.5,152937.5,23089.0,29800.5,2018
1139,2018-02-13,2018-02-14,116596.25,40717.0,68547.75,193780.75,97674.75,5758.0,219165.25,397832.0,310411.25,177675.25,30626.0,29819.0,2018
1140,2018-02-14,2018-02-15,116267.25,40178.0,75246.5,234590.75,113512.25,5677.25,221784.75,395754.5,296281.25,182881.75,25120.5,31716.0,2018
1141,2018-02-15,2018-02-16,116382.25,39518.25,90552.25,421211.0,30741.75,5697.5,222771.75,367757.5,254252.25,160045.25,27855.75,31323.0,2018
1142,2018-02-16,2018-02-17,117993.25,43669.25,63301.25,272854.75,71702.5,5749.0,224584.25,356553.75,288833.75,187460.5,36058.0,32034.25,2018
1143,2018-02-17,2018-02-18,117903.25,46611.75,7095.5,69442.25,34461.75,5795.5,225741.25,381670.0,295608.25,175476.25,20508.25,31142.75,2018
1144,2018-02-18,2018-02-19,117033.75,43600.0,28333.0,91104.0,59637.25,5787.5,224955.25,405951.25,249753.75,132391.0,11413.75,29148.75,2018
1145,2018-02-19,2018-02-20,116923.25,43681.0,7517.75,58548.0,58917.25,5813.25,225976.75,436648.25,350199.25,219564.0,45382.75,30858.25,2018
1146,2018-02-20,2018-02-21,116991.25,47722.5,9255.75,94322.5,65834.0,5812.75,226022.25,436035.75,374977.25,244878.0,33365.75,31178.75,2018
1147,2018-02-21,2018-02-22,116486.25,44770.75,3814.0,146315.5,91726.75,5789.5,226655.75,429036.75,359062.25,237808.25,27832.5,33492.5,2018
1148,2018-02-22,2018-02-23,116938.75,41871.25,7712.0,250251.25,88681.0,5796.75,226457.25,426556.75,362733.75,192406.5,30026.75,32469.25,2018
1149,2018-02-23,2018-02-24,116890.25,41311.25,43694.0,311482.25,105663.25,5810.0,223542.75,423717.25,352175.5,159147.5,30677.75,32415.75,2018
1150,2018-02-24,2018-02-25,116011.0,38417.5,98352.75,483951.75,109932.25,5660.5,180130.75,332172.75,117969.75,123866.75,11696.0,29806.5,2018
1151,2018-02-25,2018-02-26,116904.25,36153.0,68550.75,285573.75,122087.75,5727.0,188914.75,395593.75,180925.75,127450.0,11748.5,29796.0,2018
1152,2018-02-26,2018-02-27,116233.25,36166.0,86765.25,311206.0,81629.0,5735.25,192119.0,424768.0,363134.5,160123.75,30667.25,30518.25,2018
1153,2018-02-27,2018-02-28,115547.0,38302.25,89729.75,240467.75,97963.75,5840.75,193437.75,419136.75,385306.25,174468.75,35072.5,30990.5,2018
1154,2018-02-28,2018-03-01,114290.25,37815.0,101436.25,453620.75,108252.0,5791.5,192774.0,395655.5,292040.75,149338.25,26406.75,30267.75,2018
1155,2018-03-01,2018-03-02,114462.5,35053.75,98888.25,627597.5,110481.25,5571.25,192222.0,353518.25,189714.75,135635.5,24214.5,28650.0,2018
1156,2018-03-02,2018-03-03,115823.75,36244.75,98108.25,438176.5,102090.75,5577.0,193156.25,405984.0,269309.75,131197.5,37686.5,27673.5,2018
1157,2018-03-03,2018-03-04,116108.25,36471.5,99327.5,321506.5,77040.25,5529.0,193753.0,423447.25,228370.0,116848.0,19923.75,30007.0,2018
