Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Apr 20, 2015;Apr 21, 2015;1,399,052.25;1,079,493.75;20,401.50
Apr 21, 2015;Apr 22, 2015;1,421,485.50;997,698.50;23,007.75
Apr 22, 2015;Apr 23, 2015;1,399,100.00;1,119,615.50;14,803.25
Apr 23, 2015;Apr 24, 2015;1,389,804.75;1,159,591.75;21,836.00
Apr 24, 2015;Apr 25, 2015;1,377,649.75;1,126,023.00;20,513.00
Apr 25, 2015;Apr 26, 2015;1,187,569.50;943,304.25;15,899.75
Apr 26, 2015;Apr 27, 2015;1,075,979.25;872,421.75;13,738.25
Apr 27, 2015;Apr 28, 2015;1,413,651.25;1,172,651.00;15,831.25
Apr 28, 2015;Apr 29, 2015;1,435,329.75;1,197,466.50;17,289.50
Apr 29, 2015;Apr 30, 2015;1,432,913.50;1,095,167.25;21,352.25
Apr 30, 2015;May 1, 2015;1,412,109.25;1,119,758.50;18,277.50
May 1, 2015;May 2, 2015;1,075,570.50;903,299.50;18,863.50
May 2, 2015;May 3, 2015;1,111,235.50;932,062.00;15,194.25
May 3, 2015;May 4, 2015;1,091,218.25;789,875.75;18,155.00
May 4, 2015;May 5, 2015;1,385,776.00;1,050,895.00;19,038.00
May 5, 2015;May 6, 2015;1,438,372.50;941,913.75;19,357.75
May 6, 2015;May 7, 2015;1,422,623.00;985,032.50;15,041.25
May 7, 2015;May 8, 2015;1,423,764.00;971,413.25;18,825.00
May 8, 2015;May 9, 2015;1,384,680.50;1,165,965.50;16,263.00
May 9, 2015;May 10, 2015;1,187,495.75;803,028.50;16,341.00
May 10, 2015;May 11, 2015;1,073,386.00;632,118.00;28,489.25
May 11, 2015;May 12, 2015;1,391,791.00;1,038,901.50;17,122.50
May 12, 2015;May 13, 2015;1,417,129.50;982,352.50;18,049.75
May 13, 2015;May 14, 2015;1,393,403.50;982,639.00;16,303.50
May 14, 2015;May 15, 2015;1,089,956.00;860,723.75;23,943.00
May 15, 2015;May 16, 2015;1,231,519.75;1,029,790.75;17,962.75
May 16, 2015;May 17, 2015;1,144,990.50;831,944.50;14,077.00
May 17, 2015;May 18, 2015;1,061,435.25;670,560.75;21,398.25
May 18, 2015;May 19, 2015;1,371,581.50;1,043,338.00;23,625.25
